

generation best mean std

0 47.773463 -1.714078 8.924642
1 47.773463 4.177003 12.67318
2 47.773463 10.966423 14.997588
3 47.773463 13.901935 14.783355
4 56.438969 18.569776 14.512456
5 73.733871 21.159162 17.112449
6 74.148815 21.279288 17.896254
7 74.148815 19.95919 19.555769
8 85.490591 23.75751 21.083155
9 85.490591 25.628997 24.514292
10 85.490591 31.373505 25.341039
11 85.490591 32.399897 27.709417
12 88.255913 40.341326 29.287868
13 88.255913 46.018807 28.811017
14 88.255913 52.237745 31.798496
15 88.255913 48.713477 34.426468

generation best mean std

0 21.852506 -1.233337 7.98748
1 83.835967 4.065027 12.580655
2 83.835967 10.033419 14.830247
3 83.835967 17.515667 17.046634

generation best mean std

0 21.620103 -1.077333 8.223809
1 39.354553 5.143804 11.459647
2 39.354553 11.740071 11.269386
3 39.354553 18.727874 9.429829
4 39.354553 18.555904 10.505692
5 39.354553 20.330725 7.580789
6 65.740419 21.116144 9.879663
7 65.740419 19.656049 11.19652
8 65.740419 24.209033 11.336351
9 65.843021 26.60345 12.973714
10 65.843021 28.873832 12.383272
11 65.843021 30.360312 13.517493
12 65.843021 32.464357 13.704077
13 65.843021 34.128233 15.001458
14 65.843021 36.395473 16.899079
15 65.843021 41.45235 16.934324
16 65.843021 48.876936 14.693629
17 65.843021 54.174003 10.421666
18 65.843021 54.620777 9.36851
19 65.843021 52.494131 12.527493
20 65.843021 51.848648 14.17657
21 65.843021 52.493866 12.133958
22 65.843021 53.991939 11.130833
23 65.843021 52.655586 12.579464
24 65.843021 55.150638 7.752883
25 65.843021 52.484269 12.978721
26 65.843021 52.838339 11.635439
27 65.843021 52.481018 13.173092
28 65.843021 50.61873 15.67534
29 65.843021 51.775261 13.606494
30 65.843021 51.866918 14.457533
31 65.843021 55.42144 7.648325
32 65.843021 53.378971 11.716584
33 65.843021 50.540443 13.348791
34 65.843021 53.112337 11.934811
35 65.843021 53.381297 10.871252
36 65.843021 53.283149 12.143161
37 65.843021 50.705117 14.754599
38 65.843021 55.422037 7.633819
39 65.843021 53.911506 10.827264
40 65.843021 52.925602 12.559376
41 65.843021 51.157942 13.614816
42 65.843021 52.4014 12.594355
43 65.843021 53.376167 12.140616
44 65.843021 53.370854 11.538093
45 65.843021 54.610385 10.37244
46 65.843021 53.910683 10.614757
47 65.843021 50.793517 15.857394

generation best mean std

0 39.33704 -0.915408 9.686148
1 39.33704 3.90569 11.109344
2 47.260663 12.292012 12.557533
3 47.260663 16.766998 12.696565
4 84.088815 15.274989 16.067096
5 84.088815 14.626777 15.968507
6 84.088815 17.278089 16.326549
7 84.088815 18.436123 16.867397
8 84.088815 20.473173 19.327349
9 84.088815 18.442351 21.527869
10 84.088815 20.115691 22.599766
11 84.088815 23.596905 24.64615
12 84.088815 30.861438 26.644311
13 84.088815 38.185957 26.787115
14 84.088815 40.194097 28.687879
15 84.088815 41.17495 29.225653
16 84.088815 46.262705 29.559708
17 84.088815 51.881361 27.288376
18 84.088815 53.229084 26.186385
19 85.556971 47.809461 30.907331
20 85.556971 53.816621 27.327609
21 85.556971 52.51698 27.924316
22 85.556971 46.961937 32.82996
23 85.616971 44.52929 34.659636
24 85.616971 46.699257 34.64778
25 85.616971 55.802038 32.959169
26 85.676971 56.990174 36.606776
27 85.676971 57.877272 38.89747
28 85.676971 62.030006 39.032785
29 85.676971 73.256866 30.46228
